<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.05.21	4546.76	4570.45	4488.56	4543.00	121334	0	35
2026.05.22	4541.70	4545.78	4490.96	4506.98	107802	0	35
2026.05.25	4543.23	4579.69	4542.18	4570.41	80408	0	35
2026.05.26	4572.16	4580.16	4482.44	4507.36	107251	0	32
2026.05.27	4512.45	4527.61	4401.29	4456.05	106002	0	33
2026.05.28	4463.43	4516.52	4366.61	4495.69	114935	0	33
2026.05.29	4499.37	4595.24	4489.09	4539.63	105325	0	33
2026.06.01	4522.18	4545.69	4447.54	4484.59	102834	0	33
2026.06.02	4486.01	4541.46	4462.84	4487.71	98656	0	33
2026.06.03	4491.91	4496.43	4426.28	4434.23	106956	0	33
2026.06.04	4436.86	4515.08	4423.93	4475.13	107341	0	33
2026.06.05	4474.02	4481.21	4311.61	4327.54	119962	0	33
2026.06.08	4328.80	4353.12	4268.60	4329.62	128856	0	33
2026.06.09	4330.50	4363.19	4236.64	4259.23	116025	0	33
2026.06.10	4255.71	4257.24	4066.93	4071.18	136512	0	33
2026.06.11	4070.56	4219.76	4023.77	4210.59	137594	0	33
2026.06.12	4218.91	4246.42	4170.10	4216.82	125907	0	33
2026.06.15	4267.80	4369.10	4265.45	4309.14	110578	0	33
2026.06.16	4311.06	4354.87	4305.74	4331.24	106313	0	33
2026.06.17	4334.17	4382.18	4218.79	4257.57	109891	0	33
2026.06.18	4256.40	4329.63	4201.53	4208.92	121846	0	33
2026.06.19	4212.57	4213.22	4121.66	4155.37	87788	0	33
2026.06.22	4148.74	4220.25	4136.41	4191.16	115397	0	33
2026.06.23	4191.95	4198.04	4090.80	4110.04	119734	0	33
2026.06.24	4112.98	4114.89	3959.14	3998.97	133382	0	33
2026.06.25	4006.65	4044.01	3963.56	4026.47	126739	0	33
2026.06.26	4028.67	4095.92	3982.90	4080.88	119863	0	33
2026.06.29	4079.36	4085.94	4000.56	4016.44	113797	0	33
2026.06.30	4018.43	4063.33	3943.54	4007.31	112313	0	33
2026.07.01	4013.12	4115.71	3960.04	4030.91	114853	0	33
2026.07.02	4033.83	4143.58	4030.54	4123.56	117907	0	0
2026.07.03	4126.14	4195.15	4121.03	4174.71	81376	0	33
2026.07.06	4178.47	4202.34	4128.31	4164.76	107009	0	33
2026.07.07	4166.29	4180.42	4092.11	4105.70	110149	0	33
2026.07.08	4094.83	4133.73	4021.57	4077.23	127262	0	33
2026.07.09	4077.62	4137.99	4054.07	4123.67	107175	0	33
2026.07.10	4124.85	4134.75	4072.31	4119.05	97534	0	33
2026.07.13	4097.95	4102.85	3986.41	4000.68	121341	0	33
2026.07.14	4005.43	4100.72	3983.78	4052.59	116487	0	33
2026.07.15	4052.10	4081.26	4017.24	4060.40	111424	0	33
2026.07.16	4064.60	4065.47	3969.24	3976.19	114487	0	33
2026.07.17	3977.74	4023.71	3959.46	4016.41	119114	0	33
2026.07.20	4001.71	4040.29	3982.50	4007.36	111540	0	33
2026.07.21	4009.23	4086.29	3999.57	4077.70	103427	0	33
2026.07.22	4080.01	4166.02	4076.77	4129.73	110369	0	33
2026.07.23	4117.59	4140.76	4040.01	4049.17	116445	0	33
2026.07.24	4048.41	4081.83	4021.84	4053.16	101194	0	32
